Spoken form, Cursorless identifier
blue, blue
green, green
pink, pink
red, red
# yellow, yellow
yellow | gold, yellow


# 2023-09-11 15:10:35 - New entries automatically added by cursorless
bolt, bolt

# 2023-09-11 15:12:19 - New entries automatically added by cursorless
curve, curve

# 2023-09-15 22:40:56 - New entries automatically added by cursorless
eye, eye

# 2023-09-15 22:41:34 - New entries automatically added by cursorless
fox, fox

# 2023-09-15 22:41:54 - New entries automatically added by cursorless
frame, frame

# 2023-09-16 08:26:13 - New entries automatically added by cursorless
black, userColor1
plum, userColor2
# Disabled: not recognized by installed cursorless version (2026-02-16)
# white, userColor3
# teal, userColor4

# 2025-03-15 13:29:38 - New entries automatically added by cursorless
play, play

# 2025-03-15 13:29:39 - New entries automatically added by cursorless
ex, ex
