Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
vercel,versal
MCP server,map server
MCP agent,map agent
MCP agents,map agents
MCP tool,map tool
MCP tools,map tools
UI,oui
UI,you eye
tab close,tab clothes
api,a pi
CLI,ci
CLI,cly
claude,Claud
claude,clade
claude squad,cloud squad
claude code,cloud code
lap,wap
talon voice,talent voice
talon,talent
